MIN=0	0	0	0	0
MAX=50	10	10	10	70
SCALE=50	5	5	5	10
DEC=1	2	2	2	2
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
13.6	2.135	25.6	2.135	25.6
13.7	2.47	25.8	2.47	25.8
13.8	2.705	26	2.705	26
13.9	2.83	26.2	2.83	26.2
14	2.78	26.35	2.78	26.35
14.1	2.48	26.55	2.48	26.55
14.2	2.1	26.75	2.1	26.75
14.3	1.725	26.95	1.725	26.95
14.4	1.315	27.15	1.315	27.15
14.5	0.985	27.3	0.985	27.3
14.6	0.73	27.5	0.73	27.5
14.7	0.51	27.7	0.51	27.7
14.8	0.375	27.9	0.375	27.9
14.9	0.3	28.05	0.3	28.05
15	0.28	28.3	0.28	28.3
15.1	0.31	28.5	0.31	28.5
15.2	0.385	28.65	0.385	28.65
15.3	0.505	28.85	0.505	28.85
15.4	0.69	29.05	0.69	29.05
15.5	0.875	29.25	0.875	29.25
15.6	1.09	29.45	1.09	29.45
15.7	1.39	29.65	1.39	29.65
15.8	1.68	29.85	1.68	29.85
15.9	2.01	30	2.01	30
16	2.43	30.2	2.43	30.2
16.1	2.83	30.4	2.83	30.4
16.2	3.23	30.6	3.23	30.6
16.3	3.6	30.8	3.6	30.8
16.4	3.89	31	3.89	31
16.5	3.93	31.2	3.93	31.2
16.6	3.765	31.35	3.765	31.35
16.7	3.41	31.6	3.41	31.6
16.8	3.005	31.75	3.005	31.75
16.9	2.555	31.9	2.555	31.9
17	1.955	32.15	1.955	32.15
17.1	1.515	32.35	1.515	32.35
17.2	1.17	32.5	1.17	32.5
17.3	0.845	32.75	0.845	32.75
17.4	0.655	32.95	0.655	32.95
17.5	0.56	33.1	0.56	33.1
17.6	0.535	33.3	0.535	33.3
17.7	0.575	33.5	0.575	33.5
17.8	0.68	33.7	0.68	33.7
17.899	0.845	33.85	0.845	33.85
17.999	1.095	34.05	1.095	34.05
18.099	1.375	34.25	1.375	34.25
18.199	1.695	34.45	1.695	34.45
18.299	2.115	34.65	2.115	34.65
18.399	2.51	34.85	2.51	34.85
18.499	2.97	35.05	2.97	35.05
18.599	3.56	35.25	3.56	35.25
18.699	4.1	35.4	4.1	35.4
18.799	4.64	35.6	4.64	35.6
18.899	5.06	35.8	5.06	35.8
18.999	5.355	36	5.355	36
19.099	5.37	36.2	5.37	36.2
19.199	5.21	36.4	5.21	36.4
19.299	4.85	36.6	4.85	36.6
19.399	4.4	36.8	4.4	36.8
19.499	3.825	36.95	3.825	36.95
19.599	3.145	37.15	3.145	37.15
19.699	2.605	37.35	2.605	37.35
19.799	2.105	37.55	2.105	37.55
19.899	1.69	37.7	1.69	37.7
19.999	1.365	37.95	1.365	37.95
20.099	1.2	38.1	1.2	38.1
20.199	1.12	38.3	1.12	38.3
20.299	1.15	38.5	1.15	38.5
20.399	1.28	38.7	1.28	38.7
20.499	1.475	38.9	1.475	38.9
20.599	1.82	39.1	1.82	39.1
20.699	2.21	39.3	2.21	39.3
20.799	2.665	39.45	2.665	39.45
20.899	3.28	39.65	3.28	39.65
20.999	3.88	39.85	3.88	39.85
21.099	4.535	40.05	4.535	40.05
21.199	5.315	40.25	5.315	40.25
21.299	6.05	40.45	6.05	40.45
21.399	6.64	40.6	6.64	40.6
21.499	6.635	40.6	6.635	40.6
21.599	6.615	40.6	6.615	40.6
21.699	6.64	40.55	6.64	40.55
21.799	6.645	40.55	6.645	40.55
21.899	6.65	40.55	6.65	40.55
21.999	6.65	40.55	6.65	40.55
22.099	6.66	40.6	6.66	40.6
22.199	6.67	40.6	6.67	40.6
22.299	6.68	40.6	6.68	40.6
22.399	6.675	40.6	6.675	40.6
22.499	6.68	40.6	6.68	40.6
22.599	6.675	40.6	6.675	40.6
22.699	6.68	40.6	6.68	40.6
22.799	6.69	40.6	6.69	40.6
22.899	6.69	40.6	6.69	40.6
22.999	6.69	40.6	6.69	40.6
23.099	6.7	40.6	6.7	40.6
23.199	6.71	40.6	6.71	40.6
23.299	6.705	40.6	6.705	40.6
23.399	6.71	40.6	6.71	40.6
23.499	6.715	40.6	6.715	40.6
23.599	6.725	40.6	6.725	40.6
23.699	6.71	40.6	6.71	40.6
23.799	6.73	40.6	6.73	40.6
23.899	6.735	40.6	6.735	40.6
23.999	6.735	40.6	6.735	40.6
24.099	6.745	40.6	6.745	40.6
24.199	6.745	40.6	6.745	40.6
24.299	6.735	40.6	6.735	40.6
24.399	6.745	40.6	6.745	40.6
24.499	6.745	40.6	6.745	40.6
24.599	6.755	40.6	6.755	40.6
24.699	6.76	40.6	6.76	40.6
24.799	6.765	40.6	6.765	40.6
24.899	6.765	40.6	6.765	40.6
24.999	6.77	40.6	6.77	40.6
25.099	6.785	40.6	6.785	40.6
25.199	6.78	40.6	6.78	40.6
