# Strom: -0.08 A
# Magnetfeld: 0 mT
# Schnitt bei (739,474)
# Mittelung: 1 Pixel
# Magnetfeldsensor unkalibriertPixel ; Red Value
1;2153
2;2009
3;1864
4;1737
5;1610
6;1477
7;1345
8;1232
9;1120
10;1041
11;963
12;913
13;863
14;836
15;809
16;791
17;773
18;761
19;749
20;750
21;750
22;737
23;723
24;742
25;762
26;763
27;764
28;803
29;843
30;849
31;855
32;905
33;956
34;1059
35;1162
36;1258
37;1355
38;1500
39;1646
40;1705
41;1764
42;1821
43;1879
44;1917
45;1955
46;2047
47;2138
48;2270
49;2402
50;2536
51;2671
52;2707
53;2743
54;2671
55;2600
56;2523
57;2447
58;2404
59;2361
60;2381
61;2400
62;2393
63;2386
64;2344
65;2301
66;2201
67;2101
68;1962
69;1823
70;1712
71;1601
72;1495
73;1390
74;1291
75;1193
76;1131
77;1070
78;999
79;928
80;913
81;898
82;858
83;819
84;809
85;798
86;799
87;799
88;776
89;753
90;756
91;760
92;777
93;795
94;797
95;800
96;803
97;806
98;824
99;843
100;874
101;906
102;937
103;969
104;1031
105;1093
106;1197
107;1302
108;1419
109;1537
110;1667
111;1798
112;1823
113;1849
114;1898
115;1947
116;1973
117;1999
118;2069
119;2140
120;2238
121;2337
122;2460
123;2584
124;2712
125;2841
126;2875
127;2910
128;2889
129;2869
130;2754
131;2639
132;2603
133;2567
134;2531
135;2496
136;2494
137;2493
138;2522
139;2551
140;2546
141;2540
142;2454
143;2368
144;2279
145;2189
146;2082
147;1975
148;1881
149;1786
150;1667
151;1548
152;1455
153;1363
154;1298
155;1233
156;1175
157;1117
158;1088
159;1059
160;1018
161;977
162;947
163;918
164;883
165;849
166;855
167;861
168;839
169;817
170;821
171;826
172;806
173;786
174;794
175;802
176;803
177;803
178;800
179;796
180;814
181;832
182;849
183;867
184;872
185;878
186;898
187;917
188;952
189;986
190;1028
191;1069
192;1125
193;1182
194;1239
195;1297
196;1409
197;1521
198;1582
199;1643
200;1740
201;1837
202;1884
203;1932
204;1989
205;2045
206;2043
207;2041
208;2080
209;2119
210;2153
211;2187
212;2208
213;2229
214;2397
215;2566
216;2663
217;2761
218;2799
219;2838
220;2949
221;3061
222;3043
223;3025
224;3003
225;2981
226;2923
227;2865
228;2836
229;2806
230;2746
231;2686
232;2655
233;2624
234;2622
235;2621
236;2616
237;2612
238;2658
239;2703
240;2699
241;2695
242;2647
243;2600
244;2567
245;2535
246;2417
247;2298
248;2256
249;2215
250;2114
251;2013
252;1956
253;1900
254;1811
255;1722
256;1669
257;1616
258;1571
259;1527
260;1465
261;1403
262;1347
263;1291
264;1244
265;1197
266;1175
267;1154
268;1119
269;1085
270;1062
271;1040
272;1001
273;962
274;968
275;975
276;932
277;890
278;893
279;897
280;884
281;871
282;864
283;857
284;853
285;850
286;857
287;863
288;857
289;850
290;848
291;847
292;840
293;833
294;836
295;839
296;833
297;828
298;836
299;843
300;833
301;822
302;838
303;855
304;856
305;858
306;875
307;892
308;889
309;887
310;903
311;920
312;923
313;927
314;939
315;951
316;960
317;969
318;999
319;1028
320;1023
321;1018
322;1060
323;1103
324;1144
325;1184
326;1195
327;1205
328;1235
329;1264
330;1317
331;1370
332;1413
333;1456
334;1516
335;1577
336;1639
337;1701
338;1741
339;1782
340;1831
341;1880
342;1948
343;2016
344;2023
345;2031
346;2087
347;2143
348;2165
349;2188
350;2193
351;2198
352;2203
353;2208
354;2209
355;2210
356;2229
357;2248
358;2246
359;2245
360;2270
361;2296
362;2316
363;2337
364;2346
365;2356
366;2380
367;2404
368;2435
369;2466
370;2464
371;2461
372;2523
373;2585
374;2634
375;2683
376;2703
377;2724
378;2755
379;2786
380;2816
381;2846
382;2921
383;2996
384;3013
385;3029
386;3050
387;3071
388;3098
389;3125
390;3152
391;3179
392;3217
393;3255
394;3268
395;3281
396;3282
397;3283
398;3303
399;3322
400;3311
401;3299
402;3310
403;3321
404;3300
405;3278
406;3265
407;3251
408;3229
409;3207
410;3212
411;3217
412;3176
413;3135
414;3137
415;3140
416;3117
417;3095
418;3115
419;3135
420;3101
421;3068
422;3078
423;3088
424;3040
425;2992
426;2989
427;2987
428;2975
429;2963
430;2939
431;2916
432;2894
433;2872
434;2905
435;2939
436;2916
437;2894
438;2881
439;2869
440;2834
441;2799
442;2821
443;2844
444;2836
445;2828
446;2825
447;2823
448;2818
449;2814
450;2785
451;2757
452;2789
453;2822
454;2822
455;2822
456;2833
457;2844
458;2837
459;2831
460;2816
461;2802
462;2819
463;2837
464;2803
465;2769
466;2802
467;2835
468;2816
469;2797
470;2801
471;2805
472;2813
473;2822
474;2815
475;2809
476;2826
477;2843
478;2832
479;2821
480;2797
481;2774
482;2809
483;2844
484;2831
485;2819
486;2832
487;2846
488;2852
489;2858
490;2895
491;2933
492;2877
493;2821
494;2816
495;2811
496;2837
497;2864
498;2864
499;2864
500;2921
501;2979
502;2934
503;2890
504;2913
505;2936
506;2922
507;2908
508;2917
509;2925
510;2925
511;2925
512;2959
513;2993
514;3010
515;3027
516;3065
517;3104
518;3113
519;3123
520;3134
521;3146
522;3133
523;3121
524;3169
525;3218
526;3216
